  nu       n         k        t       tcal
       1999.2131       1.3622793    0.0031053939       1.0627815       1.0627815
       1999.4542       1.3622736    0.0030977821       1.0628036       1.0628036
       1999.6953       1.3622927    0.0030768161       1.0628525       1.0628525
       1999.9364       1.3623075    0.0031153074       1.0627815       1.0627815
       2000.1775       1.3623156    0.0030955571       1.0628280       1.0628280
       2000.4186       1.3623583    0.0030685210       1.0628892       1.0628892
       2000.6597       1.3623965    0.0031324544       1.0627669       1.0627669
       2000.9008       1.3623950    0.0031806191       1.0626763       1.0626763
       2001.1419       1.3623847    0.0031814844       1.0626812       1.0626812
       2001.3830       1.3623906    0.0031605184       1.0627301       1.0627301
       2001.6241       1.3624258    0.0031310582       1.0627962       1.0627962
       2001.8652       1.3624650    0.0031670541       1.0627301       1.0627301
       2002.1063       1.3624840    0.0031957759       1.0626788       1.0626788
       2002.3474       1.3624996    0.0032099488       1.0626567       1.0626567
       2002.5885       1.3625125    0.0032325992       1.0626176       1.0626176
       2002.8296       1.3625345    0.0032261617       1.0626372       1.0626372
       2003.0707       1.3625602    0.0032669634       1.0625613       1.0625613
       2003.3118       1.3625500    0.0033307860       1.0624390       1.0624390
       2003.5529       1.3625282    0.0033110373       1.0624855       1.0624855
       2003.7940       1.3625478    0.0032609960       1.0625931       1.0625931
       2004.0351       1.3625804    0.0032872333       1.0625466       1.0625466
       2004.2762       1.3625984    0.0032977332       1.0625320       1.0625320
       2004.5173       1.3626205    0.0033021739       1.0625295       1.0625295
       2004.7584       1.3626378    0.0033296096       1.0624806       1.0624806
       2004.9995       1.3626481    0.0033376796       1.0624708       1.0624708
       2005.2406       1.3626607    0.0033433243       1.0624659       1.0624659
       2005.4817       1.3626862    0.0033308093       1.0624977       1.0624977
       2005.7228       1.3627220    0.0033521579       1.0624610       1.0624610
       2005.9639       1.3627384    0.0034061700       1.0623583       1.0623583
       2006.2050       1.3627272    0.0034444676       1.0622873       1.0622873
       2006.4461       1.3627026    0.0034489072       1.0622849       1.0622849
       2006.6872       1.3627067    0.0033831960       1.0624243       1.0624243
       2006.9283       1.3627521    0.0033585690       1.0624806       1.0624806
       2007.1694       1.3627841    0.0034016465       1.0623998       1.0623998
       2007.4105       1.3628015    0.0033927537       1.0624243       1.0624243
       2007.6516       1.3628358    0.0033850546       1.0624463       1.0624463
       2007.8927       1.3628711    0.0034075610       1.0624072       1.0624072
       2008.1338       1.3628972    0.0034252352       1.0623778       1.0623778
       2008.3749       1.3629351    0.0034199395       1.0623950       1.0623950
       2008.6160       1.3629788    0.0034641570       1.0623118       1.0623118
       2008.8571       1.3629850    0.0035458373       1.0621528       1.0621528
       2009.0982       1.3629705    0.0035514437       1.0621479       1.0621479
       2009.3393       1.3629891    0.0035232058       1.0622115       1.0622115
       2009.5804       1.3630146    0.0035710206       1.0621210       1.0621210
       2009.8215       1.3630074    0.0036128223       1.0620428       1.0620427
       2010.0626       1.3630091    0.0035809799       1.0621137       1.0621137
       2010.3037       1.3630324    0.0035913567       1.0620990       1.0620990
       2010.5448       1.3630436    0.0036174289       1.0620525       1.0620525
       2010.7860       1.3630498    0.0036145433       1.0620648       1.0620648
       2011.0271       1.3630666    0.0036056129       1.0620892       1.0620892
       2011.2682       1.3630976    0.0035930471       1.0621210       1.0621210
       2011.5093       1.3631410    0.0035985572       1.0621161       1.0621161
       2011.7504       1.3631831    0.0036305931       1.0620574       1.0620574
       2011.9915       1.3632121    0.0036795146       1.0619645       1.0619645
       2012.2326       1.3632085    0.0037513702       1.0618251       1.0618251
       2012.4737       1.3631908    0.0037509009       1.0618325       1.0618325
       2012.7148       1.3632004    0.0037286994       1.0618838       1.0618838
       2012.9559       1.3632200    0.0037474622       1.0618520       1.0618520
       2013.1970       1.3632351    0.0037529699       1.0618471       1.0618471
       2013.4381       1.3632642    0.0037488164       1.0618618       1.0618618
       2013.6792       1.3632884    0.0037988782       1.0617665       1.0617664
       2013.9203       1.3632799    0.0038453589       1.0616784       1.0616784
       2014.1614       1.3632696    0.0038255894       1.0617249       1.0617249
       2014.4025       1.3632895    0.0037973503       1.0617885       1.0617884
       2014.6436       1.3633271    0.0037991917       1.0617909       1.0617909
       2014.8847       1.3633664    0.0038214937       1.0617518       1.0617518
       2015.1258       1.3633797    0.0038907737       1.0616173       1.0616173
       2015.3669       1.3633642    0.0039143422       1.0615758       1.0615758
       2015.6080       1.3633539    0.0038993849       1.0616124       1.0616124
       2015.8491       1.3633710    0.0038579142       1.0617029       1.0617029
       2016.0902       1.3634206    0.0038344481       1.0617567       1.0617567
       2016.3313       1.3634760    0.0038651103       1.0617004       1.0617004
       2016.5724       1.3635110    0.0039198515       1.0615953       1.0615953
       2016.8135       1.3635125    0.0039842545       1.0614707       1.0614707
       2017.0546       1.3635166    0.0039680645       1.0615098       1.0615098
       2017.2957       1.3635364    0.0040011489       1.0614487       1.0614487
       2017.5368       1.3635362    0.0040414714       1.0613729       1.0613729
       2017.7779       1.3635326    0.0040385124       1.0613851       1.0613851
       2018.0190       1.3635464    0.0040319163       1.0614047       1.0614047
       2018.2601       1.3635592    0.0040553673       1.0613631       1.0613631
       2018.5012       1.3635670    0.0040511813       1.0613778       1.0613778
       2018.7423       1.3636022    0.0040205120       1.0614462       1.0614462
       2018.9834       1.3636421    0.0040679275       1.0613558       1.0613558
       2019.2245       1.3636556    0.0041057678       1.0612849       1.0612849
       2019.4656       1.3636677    0.0041135732       1.0612752       1.0612751
       2019.7067       1.3636894    0.0041285618       1.0612507       1.0612507
       2019.9478       1.3637109    0.0041591551       1.0611945       1.0611945
       2020.1889       1.3637099    0.0042149955       1.0610870       1.0610870
       2020.4300       1.3636938    0.0042168292       1.0610895       1.0610894
       2020.6711       1.3637163    0.0041633708       1.0612043       1.0612043
       2020.9122       1.3637682    0.0041902765       1.0611554       1.0611554
       2021.1533       1.3637823    0.0042784492       1.0609820       1.0609819
       2021.3944       1.3637625    0.0043054740       1.0609331       1.0609331
       2021.6355       1.3637468    0.0043048893       1.0609404       1.0609404
       2021.8766       1.3637473    0.0042814780       1.0609942       1.0609942
       2022.1177       1.3637761    0.0042520157       1.0610601       1.0610601
       2022.3588       1.3638164    0.0042717052       1.0610259       1.0610259
       2022.5999       1.3638391    0.0043142074       1.0609453       1.0609453
       2022.8410       1.3638366    0.0043519547       1.0608745       1.0608745
       2023.0821       1.3638432    0.0043237359       1.0609380       1.0609380
       2023.3232       1.3638777    0.0043242308       1.0609429       1.0609429
       2023.5643       1.3639043    0.0043690862       1.0608574       1.0608574
       2023.8054       1.3639095    0.0044043883       1.0607914       1.0607914
       2024.0465       1.3639051    0.0044229262       1.0607597       1.0607597
       2024.2876       1.3639069    0.0044138880       1.0607841       1.0607841
       2024.5287       1.3639209    0.0044084171       1.0608012       1.0608012
       2024.7698       1.3639502    0.0043921310       1.0608403       1.0608403
       2025.0109       1.3639908    0.0044057619       1.0608183       1.0608183
       2025.2520       1.3640249    0.0044385612       1.0607572       1.0607572
       2025.4931       1.3640483    0.0044761644       1.0606864       1.0606864
       2025.7342       1.3640628    0.0045125799       1.0606180       1.0606180
       2025.9753       1.3640734    0.0045442056       1.0605594       1.0605594
       2026.2164       1.3640670    0.0045986046       1.0604544       1.0604544
       2026.4575       1.3640497    0.0046027513       1.0604520       1.0604519
       2026.6986       1.3640562    0.0045805121       1.0605032       1.0605032
       2026.9397       1.3640759    0.0046001215       1.0604691       1.0604690
       2027.1808       1.3640723    0.0046437079       1.0603860       1.0603860
       2027.4219       1.3640604    0.0046262973       1.0604275       1.0604275
       2027.6631       1.3640907    0.0045741005       1.0605399       1.0605398
       2027.9042       1.3641245    0.0046319269       1.0604275       1.0604275
       2028.1453       1.3641171    0.0046647300       1.0603665       1.0603665
       2028.3864       1.3641269    0.0046149843       1.0604739       1.0604739
       2028.6275       1.3641655    0.0046213616       1.0604666       1.0604666
       2028.8686       1.3641863    0.0046576628       1.0603982       1.0603982
       2029.1097       1.3642146    0.0046305908       1.0604593       1.0604593
       2029.3508       1.3642593    0.0046632296       1.0603982       1.0603982
       2029.5919       1.3642789    0.0047210156       1.0602859       1.0602859
       2029.8330       1.3642887    0.0047346077       1.0602640       1.0602639
       2030.0741       1.3642989    0.0047696958       1.0601980       1.0601980
       2030.3152       1.3643029    0.0047856798       1.0601712       1.0601712
       2030.5563       1.3643147    0.0047920833       1.0601639       1.0601638
       2030.7974       1.3643219    0.0048223781       1.0601077       1.0601077
       2031.0385       1.3643353    0.0048072761       1.0601443       1.0601443
       2031.2796       1.3643599    0.0048303473       1.0601028       1.0601028
       2031.5207       1.3643780    0.0048510414       1.0600662       1.0600662
       2031.7618       1.3644032    0.0048633538       1.0600467       1.0600467
       2032.0029       1.3644033    0.0049425612       1.0598905       1.0598905
       2032.2440       1.3643888    0.0049263313       1.0599295       1.0599295
       2032.4851       1.3644037    0.0049147922       1.0599588       1.0599588
       2032.7262       1.3644209    0.0049390358       1.0599149       1.0599149
       2032.9673       1.3644346    0.0049430041       1.0599125       1.0599124
       2033.2084       1.3644504    0.0049600828       1.0598832       1.0598832
       2033.4495       1.3644740    0.0049592448       1.0598905       1.0598905
       2033.6906       1.3644860    0.0050156723       1.0597807       1.0597807
       2033.9317       1.3644756    0.0050256548       1.0597660       1.0597660
       2034.1728       1.3644949    0.0049807101       1.0598637       1.0598636
       2034.4139       1.3645365    0.0050060306       1.0598173       1.0598173
       2034.6550       1.3645515    0.0050600247       1.0597124       1.0597123
       2034.8961       1.3645543    0.0050663763       1.0597050       1.0597050
       2035.1372       1.3645683    0.0050726903       1.0596977       1.0596977
       2035.3783       1.3645765    0.0050992718       1.0596489       1.0596489
       2035.6194       1.3645884    0.0050817597       1.0596904       1.0596904
       2035.8605       1.3646244    0.0050725124       1.0597148       1.0597148
       2036.1016       1.3646646    0.0051001686       1.0596636       1.0596635
       2036.3427       1.3646979    0.0051290278       1.0596099       1.0596099
       2036.5838       1.3647394    0.0051542785       1.0595635       1.0595635
       2036.8249       1.3647563    0.0052617403       1.0593489       1.0593488
       2037.0660       1.3647168    0.0053396013       1.0591952       1.0591952
       2037.3071       1.3646708    0.0053234405       1.0592342       1.0592342
       2037.5482       1.3646685    0.0052714396       1.0593464       1.0593464
       2037.7893       1.3646896    0.0052752981       1.0593440       1.0593439
       2038.0304       1.3647009    0.0052851344       1.0593293       1.0593293
       2038.2715       1.3647232    0.0052592430       1.0593879       1.0593879
       2038.5126       1.3647666    0.0052618322       1.0593879       1.0593879
       2038.7537       1.3647930    0.0053168033       1.0592806       1.0592805
       2038.9948       1.3648036    0.0053230570       1.0592732       1.0592732
       2039.2359       1.3648512    0.0052947010       1.0593367       1.0593366
       2039.4770       1.3648913    0.0053983358       1.0591293       1.0591293
       2039.7181       1.3648699    0.0054736263       1.0589806       1.0589806
       2039.9592       1.3648576    0.0054418959       1.0590513       1.0590513
       2040.2003       1.3648629    0.0054754736       1.0589879       1.0589879
       2040.4414       1.3648645    0.0054662769       1.0590123       1.0590123
       2040.6825       1.3648988    0.0054427094       1.0590659       1.0590659
       2040.9236       1.3649207    0.0055213546       1.0589099       1.0589098
       2041.1647       1.3649221    0.0055216541       1.0589148       1.0589147
       2041.4058       1.3649369    0.0055420953       1.0588782       1.0588782
       2041.6469       1.3649420    0.0055768149       1.0588124       1.0588123
       2041.8880       1.3649449    0.0055818473       1.0588075       1.0588074
       2042.1291       1.3649498    0.0056011170       1.0587733       1.0587733
       2042.3702       1.3649606    0.0055918685       1.0587977       1.0587977
       2042.6113       1.3649909    0.0055908581       1.0588050       1.0588050
       2042.8524       1.3650197    0.0056325772       1.0587246       1.0587246
       2043.0935       1.3650278    0.0056779196       1.0586368       1.0586368
       2043.3346       1.3650302    0.0056983532       1.0586003       1.0586002
       2043.5757       1.3650178    0.0057484952       1.0585028       1.0585027
       2043.8168       1.3649935    0.0057393550       1.0585271       1.0585271
       2044.0579       1.3650004    0.0056885862       1.0586368       1.0586368
       2044.2991       1.3650474    0.0056590266       1.0587026       1.0587026
       2044.5402       1.3651069    0.0056863426       1.0586515       1.0586514
       2044.7813       1.3651280    0.0057801914       1.0584638       1.0584637
       2045.0224       1.3651077    0.0058148970       1.0583980       1.0583979
       2045.2635       1.3651163    0.0057676910       1.0585003       1.0585003
       2045.5046       1.3651531    0.0057962421       1.0584467       1.0584467
       2045.7457       1.3651631    0.0058533290       1.0583346       1.0583346
       2045.9868       1.3651602    0.0058606828       1.0583249       1.0583248
       2046.2279       1.3651785    0.0058513638       1.0583492       1.0583492
       2046.4690       1.3652058    0.0058834729       1.0582883       1.0582883
       2046.7101       1.3652012    0.0059500484       1.0581567       1.0581567
       2046.9512       1.3651837    0.0059349354       1.0581933       1.0581932
       2047.1923       1.3652128    0.0058829297       1.0583054       1.0583053
       2047.4334       1.3652526    0.0059327231       1.0582079       1.0582079
       2047.6745       1.3652666    0.0059577421       1.0581616       1.0581616
       2047.9156       1.3653050    0.0059353029       1.0582128       1.0582127
       2048.1567       1.3653467    0.0060134628       1.0580568       1.0580568
       2048.3978       1.3653505    0.0060811044       1.0579229       1.0579228
       2048.6389       1.3653384    0.0061227596       1.0578425       1.0578424
       2048.8800       1.3653197    0.0061537817       1.0577840       1.0577840
       2049.1211       1.3653108    0.0061468963       1.0578035       1.0578035
       2049.3622       1.3653048    0.0061731214       1.0577548       1.0577548
       2049.6033       1.3653033    0.0061520085       1.0578035       1.0578035
       2049.8444       1.3653311    0.0061366910       1.0578400       1.0578400
       2050.0855       1.3653470    0.0061947406       1.0577256       1.0577255
       2050.3266       1.3653494    0.0061877997       1.0577450       1.0577450
       2050.5677       1.3653710    0.0061890545       1.0577475       1.0577474
       2050.8088       1.3654041    0.0062020793       1.0577256       1.0577255
       2051.0499       1.3654331    0.0062541194       1.0576233       1.0576232
       2051.2910       1.3654229    0.0063417663       1.0574480       1.0574479
       2051.5321       1.3653838    0.0063609782       1.0574139       1.0574138
       2051.7732       1.3653616    0.0063328513       1.0574772       1.0574771
       2052.0143       1.3653758    0.0062927602       1.0575648       1.0575648
       2052.2554       1.3654001    0.0063116961       1.0575307       1.0575307
       2052.4965       1.3654116    0.0063200505       1.0575186       1.0575185
       2052.7376       1.3654358    0.0063011841       1.0575624       1.0575624
       2052.9787       1.3654747    0.0063153190       1.0575380       1.0575380
       2053.2198       1.3655034    0.0063566469       1.0574577       1.0574577
       2053.4609       1.3655183    0.0063921211       1.0573895       1.0573895
       2053.7020       1.3655230    0.0064288103       1.0573189       1.0573189
       2053.9431       1.3655191    0.0064525444       1.0572751       1.0572750
       2054.1842       1.3655191    0.0064550126       1.0572751       1.0572750
       2054.4253       1.3655208    0.0064680904       1.0572532       1.0572531
       2054.6664       1.3655277    0.0064504657       1.0572946       1.0572945
       2054.9075       1.3655680    0.0064114596       1.0573798       1.0573797
       2055.1486       1.3656393    0.0064230398       1.0573603       1.0573603
       2055.3897       1.3656897    0.0065196213       1.0571655       1.0571655
       2055.6308       1.3656842    0.0066223292       1.0569587       1.0569586
       2055.8719       1.3656531    0.0066579211       1.0568905       1.0568905
       2056.1130       1.3656264    0.0066746199       1.0568613       1.0568613
       2056.3541       1.3656064    0.0066712426       1.0568735       1.0568734
       2056.5952       1.3656066    0.0066430198       1.0569368       1.0569367
       2056.8363       1.3656331    0.0066264662       1.0569757       1.0569756
       2057.0774       1.3656605    0.0066558680       1.0569197       1.0569197
       2057.3185       1.3656716    0.0066818009       1.0568710       1.0568710
       2057.5596       1.3656945    0.0066723280       1.0568954       1.0568953
       2057.8007       1.3657129    0.0067335539       1.0567737       1.0567737
       2058.0418       1.3656988    0.0067701823       1.0567031       1.0567031
       2058.2829       1.3656930    0.0067443439       1.0567615       1.0567615
       2058.5240       1.3657206    0.0067230632       1.0568102       1.0568102
       2058.7651       1.3657650    0.0067382041       1.0567834       1.0567834
       2059.0062       1.3657880    0.0068099490       1.0566399       1.0566398
       2059.2473       1.3657718    0.0068618523       1.0565377       1.0565377
       2059.4884       1.3657544    0.0068443061       1.0565791       1.0565790
       2059.7295       1.3657815    0.0067947736       1.0566861       1.0566861
       2059.9706       1.3658289    0.0068263444       1.0566253       1.0566252
       2060.2117       1.3658561    0.0068721213       1.0565353       1.0565352
       2060.4528       1.3658724    0.0069073505       1.0564672       1.0564671
       2060.6939       1.3658728    0.0069614678       1.0563601       1.0563601
       2060.9350       1.3658699    0.0069650138       1.0563577       1.0563576
       2061.1762       1.3658814    0.0069802463       1.0563309       1.0563309
       2061.4173       1.3658895    0.0070119517       1.0562701       1.0562701
       2061.6584       1.3658887    0.0070366381       1.0562239       1.0562239
       2061.8995       1.3658854    0.0070483988       1.0562045       1.0562044
       2062.1406       1.3658930    0.0070377673       1.0562312       1.0562312
       2062.3817       1.3659242    0.0070281943       1.0562555       1.0562555
       2062.6228       1.3659652    0.0070620511       1.0561899       1.0561898
       2062.8639       1.3659696    0.0071548323       1.0560026       1.0560026
       2063.1050       1.3659382    0.0071808054       1.0559540       1.0559540
       2063.3461       1.3659330    0.0071396782       1.0560440       1.0560439
       2063.5872       1.3659534    0.0071489370       1.0560294       1.0560293
       2063.8283       1.3659701    0.0071605586       1.0560099       1.0560099
       2064.0694       1.3659892    0.0071674663       1.0560002       1.0560002
       2064.3105       1.3660253    0.0071648898       1.0560099       1.0560099
       2064.5516       1.3660599    0.0072257150       1.0558884       1.0558883
       2064.7927       1.3660489    0.0073114121       1.0557157       1.0557157
       2065.0338       1.3660189    0.0073091564       1.0557255       1.0557254
       2065.2749       1.3660240    0.0072703352       1.0558106       1.0558105
       2065.5160       1.3660602    0.0072665635       1.0558227       1.0558227
       2065.7571       1.3660949    0.0073038637       1.0557498       1.0557497
       2065.9982       1.3661076    0.0073565197       1.0556453       1.0556452
       2066.2393       1.3661029    0.0073857925       1.0555894       1.0555893
       2066.4804       1.3661182    0.0073668622       1.0556331       1.0556331
       2066.7215       1.3661420    0.0074194276       1.0555286       1.0555285
       2066.9626       1.3661282    0.0074803876       1.0554071       1.0554070
       2067.2037       1.3661215    0.0074451505       1.0554848       1.0554848
       2067.4448       1.3661488    0.0074507702       1.0554775       1.0554775
       2067.6859       1.3661584    0.0075068865       1.0553658       1.0553657
       2067.9270       1.3661668    0.0074914980       1.0554022       1.0554022
       2068.1681       1.3661886    0.0075276033       1.0553317       1.0553317
       2068.4092       1.3661736    0.0075920210       1.0552030       1.0552029
       2068.6503       1.3661728    0.0075251213       1.0553463       1.0553463
       2068.8914       1.3662304    0.0075129781       1.0553755       1.0553754
       2069.1325       1.3662702    0.0076040101       1.0551908       1.0551908
       2069.3736       1.3662709    0.0076589257       1.0550815       1.0550814
       2069.6147       1.3662565    0.0077092264       1.0549819       1.0549818
       2069.8558       1.3662250    0.0077408742       1.0549212       1.0549211
       2070.0969       1.3662030    0.0077104073       1.0549892       1.0549891
       2070.3380       1.3662178    0.0076692067       1.0550791       1.0550790
       2070.5791       1.3662676    0.0076477190       1.0551276       1.0551276
       2070.8202       1.3663208    0.0076976069       1.0550280       1.0550280
       2071.0613       1.3663242    0.0077969094       1.0548264       1.0548264
       2071.3024       1.3663050    0.0077956853       1.0548337       1.0548337
       2071.5435       1.3663184    0.0077790670       1.0548726       1.0548725
       2071.7846       1.3663435    0.0078056684       1.0548216       1.0548215
       2072.0257       1.3663791    0.0078111465       1.0548143       1.0548142
       2072.2668       1.3663912    0.0079196746       1.0545933       1.0545932
       2072.5079       1.3663489    0.0079723558       1.0544889       1.0544888
       2072.7490       1.3663256    0.0079220183       1.0545981       1.0545981
       2072.9901       1.3663486    0.0079006557       1.0546467       1.0546466
       2073.2312       1.3663765    0.0079271965       1.0545957       1.0545957
       2073.4723       1.3663846    0.0079631932       1.0545253       1.0545252
       2073.7134       1.3663980    0.0079512321       1.0545544       1.0545544
       2073.9545       1.3664202    0.0079812896       1.0544962       1.0544961
       2074.1956       1.3664351    0.0079996958       1.0544622       1.0544621
       2074.4367       1.3664606    0.0080075190       1.0544500       1.0544500
       2074.6778       1.3664781    0.0080644482       1.0543359       1.0543359
       2074.9189       1.3664838    0.0080817181       1.0543044       1.0543043
       2075.1600       1.3665054    0.0080953851       1.0542801       1.0542800
       2075.4011       1.3665088    0.0081722123       1.0541247       1.0541247
       2075.6422       1.3664955    0.0081778956       1.0541174       1.0541174
       2075.8833       1.3665048    0.0081752693       1.0541272       1.0541271
       2076.1244       1.3665197    0.0082052943       1.0540689       1.0540688
       2076.3655       1.3665317    0.0082236555       1.0540349       1.0540349
       2076.6066       1.3665400    0.0082595383       1.0539645       1.0539645
       2076.8477       1.3665501    0.0082708953       1.0539451       1.0539451
       2077.0888       1.3665603    0.0083125835       1.0538626       1.0538626
       2077.3299       1.3665640    0.0083391326       1.0538117       1.0538116
       2077.5710       1.3665645    0.0083796920       1.0537316       1.0537315
       2077.8122       1.3665348    0.0084414176       1.0536079       1.0536078
       2078.0533       1.3665052    0.0084028304       1.0536928       1.0536927
       2078.2944       1.3665157    0.0083710056       1.0537631       1.0537631
       2078.5355       1.3665298    0.0083834708       1.0537413       1.0537412
       2078.7766       1.3665632    0.0083316942       1.0538529       1.0538529
       2079.0177       1.3666330    0.0083403192       1.0538384       1.0538383
       2079.2588       1.3666811    0.0084283270       1.0536588       1.0536587
       2079.4999       1.3666960    0.0084920425       1.0535302       1.0535302
       2079.7410       1.3666824    0.0085757283       1.0533604       1.0533604
       2079.9821       1.3666499    0.0085977590       1.0533192       1.0533191
       2080.2232       1.3666366    0.0085835493       1.0533532       1.0533531
       2080.4643       1.3666511    0.0085726634       1.0533798       1.0533798
       2080.7054       1.3666740    0.0085989965       1.0533289       1.0533288
       2080.9465       1.3666790    0.0086452311       1.0532367       1.0532367
       2081.1876       1.3666782    0.0086518985       1.0532270       1.0532270
       2081.4287       1.3666931    0.0086573005       1.0532198       1.0532197
       2081.6698       1.3667117    0.0086882871       1.0531591       1.0531591
       2081.9109       1.3667215    0.0087263047       1.0530840       1.0530839
       2082.1520       1.3667129    0.0087749031       1.0529870       1.0529869
       2082.3931       1.3666963    0.0087793170       1.0529821       1.0529821
       2082.6342       1.3667118    0.0087451246       1.0530573       1.0530572
       2082.8753       1.3667378    0.0087899890       1.0529676       1.0529675
       2083.1164       1.3667411    0.0088221887       1.0529045       1.0529045
       2083.3575       1.3667540    0.0088170955       1.0529191       1.0529190
       2083.5986       1.3667772    0.0088526425       1.0528488       1.0528487
       2083.8397       1.3667767    0.0089127530       1.0527276       1.0527275
       2084.0808       1.3667632    0.0089252580       1.0527058       1.0527057
       2084.3219       1.3667644    0.0089213856       1.0527179       1.0527178
       2084.5630       1.3667809    0.0089255521       1.0527130       1.0527130
       2084.8041       1.3668009    0.0089482906       1.0526694       1.0526693
       2085.0452       1.3668165    0.0089780242       1.0526112       1.0526112
       2085.2863       1.3668254    0.0090124409       1.0525434       1.0525433
       2085.5274       1.3668287    0.0090433990       1.0524828       1.0524827
       2085.7685       1.3668155    0.0090883985       1.0523931       1.0523931
       2086.0096       1.3667970    0.0090764969       1.0524222       1.0524221
       2086.2507       1.3668315    0.0090096550       1.0525652       1.0525651
       2086.4918       1.3668821    0.0090786079       1.0524246       1.0524246
       2086.7329       1.3668825    0.0091501965       1.0522792       1.0522792
       2086.9740       1.3668814    0.0091393341       1.0523059       1.0523058
       2087.2151       1.3669029    0.0091619924       1.0522623       1.0522622
       2087.4562       1.3669129    0.0092114198       1.0521629       1.0521629
       2087.6973       1.3669156    0.0092330255       1.0521218       1.0521217
       2087.9384       1.3669162    0.0092708869       1.0520467       1.0520466
       2088.1795       1.3669073    0.0092948758       1.0520006       1.0520006
       2088.4206       1.3669133    0.0092827874       1.0520297       1.0520296
       2088.6617       1.3669304    0.0093123927       1.0519716       1.0519715
       2088.9028       1.3669340    0.0093478809       1.0519013       1.0519013
       2089.1439       1.3669326    0.0093625141       1.0518747       1.0518746
       2089.3850       1.3669337    0.0093748055       1.0518529       1.0518528
       2089.6261       1.3669507    0.0093603128       1.0518868       1.0518867
       2089.8672       1.3669794    0.0093840062       1.0518408       1.0518407
       2090.1083       1.3670119    0.0094007097       1.0518093       1.0518092
       2090.3494       1.3670367    0.0094661472       1.0516761       1.0516760
       2090.5905       1.3670225    0.0095411085       1.0515235       1.0515235
       2090.8316       1.3670188    0.0095116708       1.0515889       1.0515888
       2091.0727       1.3670346    0.0095620644       1.0514872       1.0514872
       2091.3138       1.3670277    0.0096033321       1.0514049       1.0514048
       2091.5549       1.3670209    0.0096098298       1.0513952       1.0513952
       2091.7960       1.3670339    0.0096115548       1.0513952       1.0513952
       2092.0371       1.3670400    0.0096642903       1.0512887       1.0512886
       2092.2782       1.3670301    0.0096789034       1.0512621       1.0512620
       2092.5193       1.3670484    0.0096527848       1.0513202       1.0513201
       2092.7604       1.3670686    0.0097158148       1.0511919       1.0511918
       2093.0015       1.3670647    0.0097396328       1.0511459       1.0511458
       2093.2426       1.3670773    0.0097320725       1.0511653       1.0511652
       2093.4837       1.3671082    0.0097579505       1.0511144       1.0511144
       2093.7248       1.3671164    0.0098349034       1.0509571       1.0509571
       2093.9659       1.3671025    0.0098633902       1.0509015       1.0509014
       2094.2070       1.3670987    0.0098732847       1.0508845       1.0508845
       2094.4481       1.3670984    0.0098993472       1.0508337       1.0508336
       2094.6892       1.3671052    0.0098999024       1.0508361       1.0508361
       2094.9304       1.3671277    0.0099200071       1.0507974       1.0507974
       2095.1715       1.3671186     0.010007411       1.0506184       1.0506183
       2095.4126       1.3670964    0.0099838707       1.0506716       1.0506715
       2095.6537       1.3671249    0.0099518778       1.0507418       1.0507417
       2095.8948       1.3671473     0.010032081       1.0505773       1.0505772
       2096.1359       1.3671458     0.010046542       1.0505507       1.0505506
       2096.3770       1.3671450     0.010084110       1.0504757       1.0504756
       2096.6181       1.3671418     0.010091637       1.0504636       1.0504635
       2096.8592       1.3671609     0.010086288       1.0504781       1.0504780
       2097.1003       1.3671673     0.010156135       1.0503354       1.0503353
       2097.3414       1.3671615     0.010149801       1.0503523       1.0503522
       2097.5825       1.3671784     0.010156010       1.0503426       1.0503426
       2097.8236       1.3671861     0.010199244       1.0502556       1.0502555
       2098.0647       1.3672057     0.010173083       1.0503136       1.0503136
       2098.3058       1.3672443     0.010216075       1.0502266       1.0502265
       2098.5469       1.3672623     0.010274217       1.0501081       1.0501080
       2098.7880       1.3672823     0.010297691       1.0500621       1.0500621
       2099.0291       1.3672897     0.010393979       1.0498639       1.0498638
       2099.2702       1.3672515     0.010468649       1.0497116       1.0497115
       2099.5113       1.3672128     0.010460207       1.0497334       1.0497333
       2099.7524       1.3672044     0.010449234       1.0497600       1.0497599
       2099.9935       1.3672077     0.010458945       1.0497430       1.0497430
       2100.2346       1.3672167     0.010461688       1.0497406       1.0497405
       2100.4757       1.3672349     0.010473589       1.0497189       1.0497188
       2100.7168       1.3672581     0.010499289       1.0496681       1.0496680
       2100.9579       1.3672650     0.010563163       1.0495376       1.0495375
       2101.1990       1.3672414     0.010609951       1.0494434       1.0494433
       2101.4401       1.3672300     0.010579379       1.0495110       1.0495109
       2101.6812       1.3672584     0.010568116       1.0495376       1.0495375
       2101.9223       1.3672874     0.010620252       1.0494313       1.0494312
       2102.1634       1.3672744     0.010693438       1.0492815       1.0492814
       2102.4045       1.3672735     0.010645499       1.0493854       1.0493853
       2102.6456       1.3673166     0.010664076       1.0493491       1.0493490
       2102.8867       1.3673309     0.010758913       1.0491534       1.0491533
       2103.1278       1.3673235     0.010782459       1.0491075       1.0491074
       2103.3689       1.3673029     0.010853331       1.0489626       1.0489625
       2103.6100       1.3672711     0.010843640       1.0489867       1.0489867
       2103.8511       1.3672853     0.010795593       1.0490906       1.0490905
       2104.0922       1.3673139     0.010839574       1.0490012       1.0490012
       2104.3333       1.3673314     0.010851385       1.0489795       1.0489794
       2104.5744       1.3673696     0.010865336       1.0489529       1.0489529
