799.9653	0.000834
800.0858	-0.002515
800.2064	-0.004806
800.3268	-0.005859
800.4474	-0.005717
800.5679	-0.004420
800.6885	-0.002093
800.8090	0.000959
800.9295	0.004105
801.0500	0.006694
801.1706	0.008265
801.2911	0.008811
801.4116	0.008527
801.5322	0.007726
801.6527	0.006649
801.7733	0.005495
801.8938	0.004361
802.0143	0.003237
802.1348	0.002065
802.2554	0.000827
802.3759	-0.000463
802.4964	-0.001715
802.6169	-0.002783
802.7375	-0.003506
802.8580	-0.003817
802.9786	-0.003767
803.0991	-0.003498
803.2196	-0.003043
803.3401	-0.002324
803.4607	-0.001105
803.5812	0.000923
803.7017	0.003949
803.8223	0.007843
803.9428	0.012149
804.0634	0.016263
804.1838	0.019702
804.3044	0.022151
804.4249	0.023440
804.5455	0.023464
804.6660	0.022255
804.7865	0.020057
804.9070	0.017293
805.0276	0.014383
805.1481	0.011609
805.2686	0.009015
805.3892	0.006566
805.5097	0.004313
805.6302	0.002459
805.7508	0.001377
805.8713	0.001428
805.9918	0.002802
806.1124	0.005441
806.2329	0.009065
806.3534	0.013203
806.4739	0.017231
806.5945	0.020407
806.7150	0.022148
806.8356	0.022255
806.9561	0.020981
807.0766	0.018826
807.1971	0.016241
807.3177	0.013518
807.4382	0.010808
807.5587	0.008228
807.6793	0.005966
807.7998	0.004282
807.9203	0.003441
808.0408	0.003630
808.1614	0.004846
808.2819	0.006911
808.4025	0.009439
808.5230	0.011893
808.6435	0.013748
808.7640	0.014710
808.8846	0.014838
809.0051	0.014494
809.1256	0.014113
809.2462	0.014045
809.3667	0.014426
809.4872	0.015160
809.6078	0.015946
809.7283	0.016458
809.8488	0.016480
809.9694	0.015990
810.0899	0.015110
810.2104	0.014026
810.3309	0.012945
810.4515	0.012039
810.5720	0.011427
810.6926	0.011168
810.8130	0.011246
810.9336	0.011619
811.0541	0.012176
811.1747	0.012782
811.2952	0.013256
811.4157	0.013425
811.5363	0.013207
811.6568	0.012653
